,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
0,61,Responsive,Article,2810,1,1,0.6017109304666519,0.008941279512511056,0.25,0.4154818989346173,0.3938457013671205,0.005280648494422927,2810
100,67,Responsive,Article,3040,1,1,0.5508491138617198,0.04794710613389739,0.25,0.4538447892697487,0.4284815374535697,0.0351509550208954,3040
330,41,Responsive,Article,3201,1,1,0.5822873394936323,0.10648285770755408,0.25,0.4293412943125374,0.3941987795571585,0.0041513042117095195,3201
388,71,Responsive,Article,3310,1,1,0.6438743761091521,0.04544594777029839,0.25,0.38827449775329936,0.371827382356634,0.02478073808516187,3310
380,85,Responsive,Article,3500,1,1,0.6166204997471401,0.014638363737172576,0.25,0.4054357584649204,0.3853503670599407,0.008432062185127527,3500
260,37,Responsive,Article,3520,1,1,0.6412303311484201,0.010649838414612603,0.25,0.38987550628221085,0.371827062118953,0.005646127160462017,3520
428,47,Responsive,Article,4040,1,1,0.5927979178726673,0.13344124975008118,0.25,0.4217288766754742,0.4140619229071104,0.08069936712121278,4040
140,45,Responsive,Article,4491,1,1,0.5844608214166429,0.014827345588140908,0.25,0.4277446679728481,0.4043874040989402,0.00927365440124881,4491
10,59,Responsive,Article,4550,1,1,0.5683919320935789,0.09104307219119112,0.25,0.4398373479355448,0.40716523437234003,0.018823807188707,4550
130,33,Responsive,Article,4590,1,1,0.6663810756471422,0.034459577616551045,0.25,0.3751607137961078,0.35970255303090026,0.017901428738727666,4590
340,83,Responsive,Article,4820,1,1,0.6805263111988703,0.07515445461218052,0.25,0.36736272482922777,0.3559166009087471,0.040878652299472566,4820
220,65,Responsive,Article,5429,1,1,0.619498213854703,0.08633684079113295,0.25,0.4035524145330868,0.3774003319786799,0.008089789095679503,5429
60,69,Responsive,Article,5469,1,1,0.6145379001444037,0.08805829815662466,0.25,0.4068097345033645,0.3805146295435652,0.015074224520256033,5469
240,53,Responsive,Article,6051,1,1,0.5578217724959056,0.015178947860564599,0.25,0.4481718217655891,0.42155800754362643,0.010116814165669142,6051
80,51,Responsive,Article,6540,1,2,0.5869261539899386,0.03313398168494583,0.25,0.4259479634712029,0.40364201010669576,0.020624363570532232,3970
290,63,Responsive,Article,6810,1,1,0.6166017349086591,0.05025409600776508,0.25,0.4054480969584589,0.38726707138619143,0.030235760534805135,6810
408,49,Responsive,Article,6960,1,1,0.6747711019856589,0.09585152068093931,0.25,0.3704960085936124,0.35177671512765296,0.025520241752331727,6960
210,31,Responsive,Article,7000,1,1,0.6493742811507073,0.019954831386871822,0.25,0.38498598921563976,0.36776856043091505,0.010313415255794545,7000
30,57,Responsive,Article,7968,1,1,0.5419594871846936,0.024997594559174805,0.25,0.46128909247196714,0.4328627222903763,0.0176042690892166,7968
50,35,Responsive,Article,8469,1,1,0.596325604354634,0.06659574628481386,0.25,0.41923405296433547,0.3928987028428545,0.007183088525978958,8469
270,39,Responsive,Article,8670,1,1,0.5511232249877032,0.08178533886459098,0.25,0.45361906133710495,0.4329338429876771,0.058484894314380136,8670
180,43,Responsive,Article,8818,1,1,0.6378162157806483,0.005701233893254692,0.25,0.39196243967239874,0.37358176415948025,0.003064845119805158,8818
280,55,Responsive,Article,14920,1,1,0.6801073112197824,0.027663804846644706,0.25,0.3675890493687259,0.35272704589382875,0.013199254873206162,14920
300,64,Static,Article,2289,1,1,0.5946783338113116,0.021853511097283212,0.25,0.4203953394396301,0.39836729046767255,0.013528756717063951,2289
200,36,Static,Article,3230,1,1,0.5867398976935841,0.016904953513057326,0.25,0.42608317754208463,0.4030332427714433,0.010395792231103795,3230
110,60,Static,Article,3260,1,1,0.6295919932936026,0.01198235266141704,0.25,0.39708255928123837,0.3780922755597865,0.006495122921078305,3260
40,32,Static,Article,3983,1,1,0.5771232211404008,0.01993165452546317,0.25,0.43318305492195874,0.40913863437155795,0.01260641985555809,3983
70,56,Static,Article,4103,1,1,0.7303334356412413,0.043455808279257956,0.25,0.3423093997887377,0.33078571657184314,0.018880843177383037,4103
90,58,Static,Article,4330,1,1,0.6516213854086647,0.03999271530711696,0.25,0.3836583721745295,0.3674886274803528,0.022080860638114534,4330
190,38,Static,Article,4550,1,1,0.5623676959426702,0.01351062191074118,0.25,0.4445490055771018,0.4184879016694372,0.008993668341614998,4550
360,70,Static,Article,4565,1,1,0.6164297462965227,0.020246005723244996,0.25,0.4055612200773677,0.38560763353566585,0.011467571266683354,4565
398,82,Static,Article,4970,1,1,0.6112352292795742,0.0241194991306819,0.25,0.40900783859376005,0.3887957859676868,0.016812980164261766,4970
20,68,Static,Article,5230,1,1,0.5965748500467966,0.010794982233443707,0.25,0.4190588992821093,0.39692420582843563,0.006391126592089983,5230
230,54,Static,Article,5730,1,1,0.632059405251099,0.07517270443563519,0.25,0.39553244192400266,0.380778136144635,0.04093749770065946,5730
170,44,Static,Article,5831,1,1,0.6274633306417847,0.056583167065613685,0.25,0.3984296576252415,0.3815142725213389,0.031022384193684548,5831
350,48,Static,Article,6211,1,1,0.5737175367076297,0.07666043438626337,0.25,0.43575450287726114,0.4172837403662756,0.05827520001712598,6211
320,79,Static,Article,6327,1,1,0.588683533063387,0.008246404695545492,0.25,0.4246763939515207,0.4016564201188042,0.005135763865275963,6327
370,84,Static,Article,6500,1,1,0.6651804546327357,0.030424155049559906,0.25,0.3758378621302573,0.36012575060350216,0.015788309880910234,6500
150,80,Static,Article,6751,1,2,0.6706134353161637,0.06212819001935797,0.25,0.37279300836276325,0.359460705183335,0.032977015803008616,6051
438,78,Static,Article,9679,1,1,0.6313446642457244,0.015060371806172526,0.25,0.395980221514469,0.3772059808961781,0.008331249120515334,9679
160,86,Static,Article,9770,1,1,0.6575857704259319,0.0021749201492442505,0.25,0.38017854285087377,0.36330615113993114,0.0010964418917528372,9770
120,34,Static,Article,13876,1,1,0.5514130496113041,0.05948059094510209,0.25,0.453380637575094,0.4292961517105015,0.04099149340939823,13876
310,46,Static,Article,16430,1,1,0.6855100905769899,0.04620120357544308,0.25,0.3646919329656788,0.3509881922203029,0.021759299553772798,16430
250,30,Static,Article,17181,1,1,0.6507748255948664,0.0267761130296551,0.25,0.3841574538035912,0.3672602640093435,0.013620504598028476,17181
418,40,Static,Article,47081,1,2,0.635140887892849,0.0991798366855084,0.25,0.3936134561095618,0.3819852263368981,0.05242530118046439,24996
131,33,Responsive,Article,2110,2,1,0.6623108143156226,0.006034801939188379,0.25,0.3774662810818353,0.3609542022915433,0.00303122789280448,2110
261,37,Responsive,Article,2170,2,1,0.618166674267162,0.00686801261780615,0.25,0.40442167202943374,0.3843478306852987,0.0038955868048170437,2170
